,label,sentence
2133,fear,Every time I see a spider or a snake.
5139,disgust,When I was teaching a student started making silly remarks in class.
669,shame,[ Can not think of anything.]
7386,joy,I finished my homework; an important task.
2735,shame,I feel shy to show all my worth when I work for the first time with a conductor or a producer unfamiliar to me.
6008,joy,When I got the scholarship I was very happy as the financial burden of the family was reduced.
3810,joy,A recurrent lovesickness.
1955,sadness,Death of paternal grandmother to whom I was very close - died of cancer.
1104,fear,When my brother went to shoot wild ducks, I feared that the boat would overturn and he would drown or that the gun would accidentally go off.
147,joy,When I got the loan for my studies.
3496,sadness,Hearing of the death of a friend who had been skiing.
6550,shame,In 1972 I failed my Examination because of my own crook behaviour of dodging from Examinations.
3028,joy,When I was accepted as a student.
3296,guilt,Making a sexual pass at my cousin with whom I have a very close personal relationship.
3917,anger,Seeing for the first time pictures about the so called \treatment\ of Jewish people in Nazi-Germany during World War II.
2034,shame,Had a very good friend. We grew apart I found myself running her down to other friends.
2533,fear,One day I was near home, kissing my boyfriend in a car when my mother appeared and asked me to go home, because she didn't know about the event.
4335,joy,Every time, in the last few days, when my girlfriend told me that she loves me.
4191,sadness,When my grandmother died.
7406,guilt,I was cold to my sister without meaning it, just because I was upset and frustrated
1312,disgust,While travelling in a bus, there were three people sitting behind me (two men and a woman). They were drunk and the conversation was unbelievable (about fucking, fellatio, etc...). They tried to get others to take part in the conversation. I loathed it and felt like crying.
5916,disgust,When I had exams a relative of ours, who lives in another city, came to visit us and I felt disgusted at him.
2275,joy,When I finished my exams after 12th Grade, I was worried about getting a T.E. Score high enough for Physiotherapy. When I found that I had been accepted I was ecstatic, or more appropriately, could jump for joy.
2301,shame,One day in the intimate with my girlfriend I had an ejaculation.
4895,fear,When I was confronted by a policeman one night around 11 o'clock. I was afraid when they threatened to take me and my girl to the gallows.
6695,sadness,I felt sad when my father was sick.
1692,disgust,On my way to a concert I went with a man who tried to molest me. At that moment I did not care much but now the impression fills me with disgust.
2883,disgust,I saw in the street a man spitting.
7511,guilt,I was so excited once that I told my classmate that she was old, this hurt her and I felt guilty.
1017,disgust,Spoilt smashed and molded potatoes in the fridge, and having to clean up the dish later.
6432,shame,I was ashamed when my classmates discovered that I fell in love with an uneducated girl.
1479,joy,I went shopping with my parents - my father payed everything for me, I was very glad.
6559,joy,When I heard my name being announced on the radio that I had been successful in an interview for admittance for a medical Assistant training course. I was really happy and I enjoyed myself by dancing to music from the Radio cassette.
7131,joy,Finding out I was chosen for the English lectures.
7080,shame,Criticized in front of the class.
1289,fear,One evening, while going to meet a friend of mine, I had to cross a meadow by a dark road. There were bushes on the other side of the road. The weather was damp and a bit foggy. I heard steps behind me and kept speeding up my steps all the time.
2317,joy,I was in ILHA GRANDE with a wonderful sun, with wonderful people, with a wonderful sea, with a wonderful boy.
7613,sadness,My got my mathematics test's marks and could not believe that it was true. In the past I would have at least 80% marks. Was I getting weaker at studies ? This made me feel that I should not expect too much from going to the university.
6464,anger,I planned to travel a distance of 20 kilometres on my bike. I planned this when I was working in the hospital. When I went to the house I found that a friend had taken my bike without my consent.
1961,anger,I was enjoying the company of bird life while I was eating lunch in a park when a group of people began throwing sticks at some of the birds - for no reason other than the satisfaction of seeing them being scared away.
5401,sadness,When my grandfather died.
6460,shame,I was ashamed when a certain friend of mine I used to move with failed to propose to a lady yet we always said to ourselves no lady can refuse our proposal.
5893,anger,When my father talks about our relatives and favours them, I feel angry.
5628,anger,This summer I got into a fight with one of our patrons (at a theatre He hit me and I hit him and her friend, he hit my friend and we all hit eachother.
6481,guilt,I felt guilty one day when I was accused of running away from classes and I was caught.
4683,guilt,When I gave in to what my wife wanted and locked the cat out, it was killed by the dogs.
4167,joy,When I saw that I had passed an exam. It was the last chance and there was a lot at stake.
6364,joy,When I was at school, no one thought I could pass my MCE so at the end of the year my name was announced on the radio that I had passed. I was the happiest person.
5671,sadness,Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills.
2339,fear,When I was curious about it and went to a spirits session with a friend. I had already been there other times (many times when I was younger) but that day, even if I don't believe in spirits I was terribly afraid that something would happen to me (sort of incorporation !).
6651,fear,When I was called for an Interview at Kamuzu College of Nursing.
5978,shame,I was ashamed at myself for having shouted at my daughter because of my marital break-up and the unfair way I was treated.
6637,fear,Sometime back, my boyfriend and I were having a walk nearby my parent's house. Suddenly we met my grandfather and I was afraid that he would report to my parents.
3148,sadness,After my father's death.
555,anger,In the student kitchen that we share, somebody drank from my juice pot (one litre so that I only got one glass out of the whole pot.
5519,shame,One night a friend found out that I dumped one girl for another and he preceded to lecture me.
7027,joy,Finding out that I am not ill (not seriously).
2231,shame,As a child - being sent to the shop by mother - buying some chocolate - getting caught by mother.
3663,guilt,I chatted up with a girl who I didn't love. She however was fallen in love with me. I felt responsible for her sorrow.
7411,disgust,When I was travelling to school by bus, I went past a place where a sewer had been repaired. There was a bad strong smell which suffocated me and I wanted to leave the place immediately.
5326,anger,When my room-mate was making noise deliberately, by playing a flute early in the morning while I was trying to study.
4770,anger,I was annoyed this particular day as it seemed that the odds were not in my favour My grandfather added fuel to the fire, when I had an important appointment so I unleashed my anger on him.
3760,fear,When my father suffered with dizziness. He had to be hospitalized, because the physician didn't know what was wrong. Because his stools were black, I thought it could be cancer.
1272,fear,I was walking home with a friend at night along a quiet street. Something started rustling in the bush : it was an exhibitionist.
4520,disgust,I found a cockroach crushed between two folders in my bedroom, I called my mother.
736,anger,Meeting generally dominating persons in social occasions.
2783,joy,After the term exams I happened to meet a person that I respect and of whom I think very highly. It was nice that although we see each other rarely he had not forgotten me.
3149,disgust,With an alcoholic.
4779,disgust,I was disgusted at the university wanting some of us to travel from our homes to the lectures here every day. The way the whole thing was handled disgusted me.
2345,joy,When I got a wedding ring of diamond from the boy I loved.
5018,shame,A few years back I had proposed love to a girl who later turned out to be related to me. Though we were in love with each other, we both felt ashamed and withdrew from each other.
1637,disgust,I went out with my sister, her boyfriend and his friend. I did not like this young man. But suddenly he overcame me and kissed me. He was very strong so that I could not defend myself.
904,sadness,My sweetheart were away on a trip, and then she got problems.
6422,anger,My girlfriend mentioned a certain girl's name who was my girl some time back and she is no longer mine that she said she was still mine.
1302,fear,A neighbours girl had disappeared and many people were looking for her. Someone had gone to notify the police. Something had certainly happened to her.
3800,fear,Before one of my final exams of the third year - natural sciences.
3823,guilt,Someone had to do a lot of efforts to make something work. With my help he would have finished much sooner, but I wasn't in the mood to help him.
4060,fear,When I went up the stairs in a high, dark house full of shadows, passed a door and had the feeling that someone or something was behind me, although I knew I was alone.
5849,joy,When I finished my C.S. Project I was overjoyed. I felt relieved because it was due the next day and I was tired of looking at it.
6700,fear,Afraid of a dead body.
2521,sadness,When my dog died.
186,sadness,My grandmother died suddenly last summer.
6907,anger,Someone called me a disgusting nickname.
1124,joy,When I felt that an exam, which I had feared, was an easy one and went well.
3487,fear,Mugged while on holiday in the U.S.A.
5933,fear,While trying to board a train I missed the footsteps and fell down on the platform.
2555,anger,When I had a serious argument with a dear person.
3767,fear,I lived in a student-house, where you shared the lavatory and shower with a fellow student. the shower cubicle formed the connection between both apartments My neighbour very often was drunk and aggressive. One night, I was afraid that he would enter my room.
6423,sadness,I had been caught red-handed having stolen some paw-paw. I was then taken the elders owning the paw-paws.
3521,joy,Getting University Entrance accredited and arriving home from boarding school on accrediting leave.
3627,shame,I had subscribed for this test. We were informed by our secretary where the test took place. We went over there and thought there was a course. So we went back again I felt ashamed that the secretary again should see me.
5287,shame,When the brother-in-law of a girlfriend of mine found us in a bedroom with clothes and panties spread all over the place.
1931,joy,When I was complimented and called \delightful\.
5145,sadness,I was sad at the expulsion of some of my comrades during the UNZA demonstrations.
3378,disgust,Prolonged \niggling\ of friend on a single theme which I considered of no consequence.
2313,sadness,I couldn't sleep, and began to remind of my childhood. We are many sisters and at that time we were spanked a lot and I don't know why I started to remind of the spanks they and I had had, their shouts when this happened.
3010,sadness,When my dog was stolen.
6753,anger,I was angry at the Cafeteria when the cook scolded and said many bad things about me without reason. He thought I was among the girls who did him wrong.
5697,fear,I needed a recommendation for something. I decided that the best person to get one from was a professor who I had never talked to before. I felt a lot of fear going up after class to ask him to recommend me considering he had never heard my name before. But I did.
3681,sadness,I felt very sad when I left home because I could not stand it any longer. I do not regret it, but I missed my little sister very much (and she missed me). These feelings wear off over time.
3288,shame,Not having owned up to the responsibility an incident where family car received minor damage.
1711,anger,I had got a bad cold. My father said I must be crazy to go by motorbike at those temperatures. When I answered him that I did not care about a cold, he said that if I did not care for anything I could leave him (it was for the second time he said something like that).
1635,anger,As I usually do not start learning until a short time before an examination,, I once made up my mind to try to work for a longer time. But once again I did not do it - and got a bad mark.
6214,anger,Somebody wanted to beat my brother at a wedding ceremony and I was trying to protect my brother but the other man was calling names to both of us.
6855,guilt,Not handing in homework in time.
3219,fear,My mother did not come home till late at night (Ages ago). Anyway if I don't know where my parents are and when they'll be back I start thinking that perhaps they have had an accident and are perhaps dead.
5398,joy,When I got engaged to a boy of my choice.
1309,fear,I work at a day care centre and one day when the children were outdoors a four-year old boy disappeared from the yard. I was not looking after them then, but as the manager it was me who was responsible.
501,guilt,When I was face to face with my deceived friend after sleeping with his wife.
5934,anger,I was having an argument with my brother on his behavior, then we started fighting and I got annoyed at him because he started teasing me.
1018,shame,A truth expressed unthinkingly at a coffee party. I realized later that I had been inconsiderate, at a wrong moment and the wrong place.
1790,disgust,After a pleasant evening with friends in my flat, one of them did not want to leave, because he wanted to sleep with me. He said that he had fallen in love with me, that he felt alone and so on.
5818,disgust,Now that the 49ers are winners, the fans are coming out of the woodwork and jumping on the bandwagon and that disgusts me.
6047,disgust,One day my colleague misbehaved with me. I felt disgusted and thought to myself that he could only do this because I was a woman.
6114,fear,I was scared when I realized that I might miss the train which I was supposed to take. I was 1500 Kilometres away from home and when I heard the depart whistle I was still 150 feet away from the train. I finally made it.
7247,disgust,Some boys boasting about their ability to tell dirty jokes.
2766,disgust,I have experienced disgust with some people - usually double dealers.
3333,fear,Being alone in Europe and having to catch a train and bus to the airport, then board the plane alone.
5463,joy,Got a big fish in fishing.
1771,guilt,I spied on my fianc and was terribly jealous. Later I saw that there was no reason for that.
5309,guilt,When I told my uncle a false story - that people had stolen the books from my room and I demanded money from him. When he found out the truth I was in trouble.
5429,fear,Before the first exam
6177,fear,When I did not get admission in M.Sc after my B.Sc, I felt really bad. When I started my journey to Bombay, after having accepted my uncle's offer to come to Bombay, I was afraid, wondering if I would succeed or not.
6820,guilt,A person misinterpreted what I had told her. I had told her that I had failed to insert a NasoGastric tube but she went and scolded the patient that she was being uncooperative.
6956,sadness,My father left us for another woman.
7498,joy,I was appreciated by others, especially my family members and my friends.
3591,guilt,When I took a car which was not mine, and suddenly it stopped working.
6789,sadness,My boyfriend didn't turn up after promising that he was coming.
5712,anger,Argument with roommate over a lock he had put on kitchen cupboard without telling anyone.
4331,sadness,I have a very close friend who lives in another city and we have been writing to each other for a long time. The last time I went to her city, just to see her, I was disappointed to see how great the distance between us was.
5634,fear,A time when I was very afraid of something was when I broke my father's antique lamp.
7611,fear,When I was young I had gone to an old lift and played with the antique lift. The guy discovered me and warned me, I was very frightened.
5147,shame,I had a feeling of shame when I found myself unable to answer some questions from my tutor simply because of a lack of preparation.
2545,guilt,One of my pupils escaped from school to the street.
2710,fear,I felt fear when my mother was heavily ill.
504,anger,When I told off a computer teacher who did not want to teach me because of prejudice.
874,fear,Almost crashing my car, something which could have led to great problems.
2592,disgust,When in my childhood we were forced to take cod-liver oil.
5122,disgust,A certain girl asked me what my major was and when I told her that it was P.A she started criticizing it saying, \I hate that course.\ She just shows off in front of other people.
792,sadness,A very close friend left me.
891,disgust,Maltreatment of children.
2488,shame,I feel ashamed every time that someone makes me a positive or negative critic.
1812,shame,When I was a child, I had a medical check-up. I had to undress myself and was examined by several doctors.
7298,anger,I had too much homework and examinations and I did not know how to organize my work.
6619,disgust,I went to a party and there were some cakes which weren't good and had a bad smell.
2470,fear,Once when I crossed the street, and was nearly trampled by a car.
848,sadness,Got a package from my parents, without even a small note enclosed.
1936,shame,I had been rude to my mother at a time when she needed comforting, not anger (death of my sister).
451,shame,When I stole a packet of cigarettes from a neighbour and the next day I owned up and returned it.
462,anger,[ After an examine I had been satisfied with.]
2910,sadness,When I left a man in whom I really believed.
4791,anger,When my daughter began staying away from classes - at the age of nine only.
6630,fear,I and my cousin went to a filmshow at night. We went without making it known to my mother. While we were there at interval, I came across my mother just close to where we sat.
2745,guilt,When I shouted and quarrelled and for no reason I had been rude to my mother and when my behaviour had been influenced by other outward factors.
7441,guilt,Saw a blue film in a cinema.
6770,shame,I wore a dirty dress a certain day I was going to town I met an old friend who made a comment about my dress so I felt ashamed.
7219,disgust,My roommate messing up our room.
7510,shame,When I was young I felt ashamed when our relatives visited us and I hid myself.
5350,shame,When I failed the grade seven exams.
2713,disgust,I felt disgust with the alcohol, after I happened to see a young man, who was dead to the world and who wallowed on the pavement. This \sight\ I watched from the bus.
2251,disgust,One of my flatmates and I came back to the flat Monday morning, to find a real Mess, left by the guy we share with.
4786,disgust,This happened when I could not get into the school I had initially wanted, and ended up doing something I had never thought I would do.
5798,shame,The fact that I was pregnant. I was always considered level headed and did not have sex until 18 and out of high school.
3782,sadness,When my father passed away in 1978. I was left alone with my mother who was very sick so I had to go and live with my aunt, who is very short tempered, till my mother was discharged from the hospital.
2089,disgust,Hearing of a filthy situation over the phone.
5759,fear,When first came to CAL I went to a rally on Sprout and I later learned that the rally was conducted by the Movie cult. They were taking pictures at the rally, so I was afraid that they would circulate the pictures and then kidnap people. I did not know how the cult worked. I was scared.
1591,joy,When my last year's second semester results came through - I was ecstatic.
6913,fear,Walking alone in the dark in a strange street.
6281,fear,I was very scared when I went to the examination hall for my M.Sc examination as I had studied a limited portion of the course thoroughly and I was in great doubt whether that would be asked.
6719,guilt,At one time while at primary school I lost a pencil case of a friend and I didn't mention it to her until after a fortnight.
1964,shame,When I woke up after a night of drinking I couldn't remember and discovered several untoward things had occurred.
7052,shame,Finding out about Chinese money cannot buy foreign journals.
6737,joy,When I heard that I had passed my end of first year exams and I was ready to enter 2nd year because I felt I had failed as they were very hard.
1235,guilt,[ I had, by being silent, disapproved my love and made him unhappy. He had not been able to keep his promise. I thus was thinking about my own conduct towards another person.]
5476,guilt,I broke a cup and put it back without telling anyone about it and someone almost got blamed for it, then it was discovered that it was me who had broken it.
4636,fear,When I went to town in a double decker bus. The bus was about to fall on the way when the driver controlled it. It had almost fallen.
133,joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago.
3196,anger,A shop in Downtown wouldn't accept my Visa Card - before December last year.
6031,anger,When a relative, who had come to our place, created untidyness and dirtyness.
7577,anger,When I got into a bus I found that my wallet had been stolen. It was not a great loss from the monetary point of view but I lost some documents - identity papers. As a result I had to spend several days in order to get a new one. I will always remember all the work I had to do and the bad treatment I suffered because of the bureaucratic behaviour of the civil servant. I had already had bad luck and they treated me like a criminal. At one point of time I really wanted to quarrel with them.
3746,fear,Once, late at night, I was biking home and overtook a man. He said to me \Hello darling\ I was terrified and imagined the wildest scenes.
2807,sadness,My brother in law was dying of cancer. To see him wasting away was very sad.
6977,guilt,Not being able to convince my class leader that my friend is better than me to go to the English lectures.
861,anger,When my mother treats me as a 10-year old boy.
3026,shame,I am ashamed of the way my father behaves with my mother and sister, and with me too.
6527,sadness,When I found my baby whipped by my Auntie. I was really sad and up to this moment my sadness is still on.
5019,guilt,Last year I was asked to look after my niece while her mother was cooking. Unfortunately the kid fell off the bed, I was confident that she would not fall and had not been paying much attention.
7345,joy,I was accepted by the Chinese university.
190,joy,I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?
1013,joy,On the cliff by the sea, the silence and the sudden voice of a bird.(swans of the bay)
2897,disgust,I felt disgust with a person whose behaviour was out of the elementary human norms.
4624,sadness,1976, Soweto uprising in South Africa and the racist Gout's reaction to the students demands concerning the educational system.
6403,disgust,The emotion came to me when a certain girl who was not polite to her mother hit her sister severely.
378,anger,When my father asked me if I was a communist, at the same time he made it clear that I should no longer see myself as his daughter.
5629,sadness,This monday I took a Math 1BS test and flunked for the second time.
3620,shame,I cannot remember a situation in which I felt ashamed. I was eating with some people and a little boy I took care of. I warned him often not to knock down his glass of mild. When I took out his chair I knocked down my own glass.
5405,joy,When I passed my B.A exams.
4911,sadness,When my cousin passed away unexpectedly and tragically (a murder).
7602,guilt,I wanted to get rid of a bad habit and it seemed that I had succeeded. However a year later I got the bad habit again. I felt useless as I always found excuses to explain my behaviour As a result I felt guilty.
6936,sadness,Finding out that China is still backward in science.
7455,guilt,Failed to keep an appointment.
7172,guilt,Said something I should not have said in public.
3351,shame,Haven't felt shame for ages.
4197,anger,When a professor of this faculty laughed at, and was suspicious of a composition written by a class-mate and me.
1722,guilt,I had been together with my boy-friend for two and a half years, when he got to know another girl and not even tried to conceal that from me. I drew my conclusions and left him - I also felt a bit guilty for what had happened.
3977,disgust,Seeing a pornographic movie in which animals were used.
270,guilt,I do not study enough as I do not understand it properly.
5668,joy,The last time I had sex.
3315,disgust,Hearing Norman Jones get hysterical in Parliament about law reform (on the radio - listening with 2 others).
955,shame,We got into a fight with some chaps in front of our family house. The value of the property destroyed was approximately 15 000 FIM. I felt ashamed when my parents came to know about this.
2377,fear,When I left a carnival ball at 4 o'clock a.m. I was alone in a foreign city and I had to go back home, when a guy appeared and tried to \catch me\.
4530,joy,When my brother was born, everything went all right. It had been very likely that he would have a deficiency (my sister suffers from Down's Syndrome) and that my mother would be in danger.
1125,fear,I was afraid when my dog ran out through a crack in the fence when a train was coming.
6950,sadness,Not winning a medal in the swimming contest.
5382,sadness,When I first suffered from syphilis.
886,guilt,The negative feelings towards me displayed by my \parents-in-law\.
5246,guilt,A very, very close friend of mine used to come to my room to see me and I never bothered to pay him a visit. One day he asked me the reason behind this and I gave him a shirt.
894,joy,Relating to my closest family.
3766,joy,Passing an examination, although I felt sure I had failed.
4313,guilt,As I was not paying attention, my little brother fell off the table.
4601,fear,When I was about six years old, I mistook a cat for a leopard when it entered my room at night.
5754,sadness,It made me very sad to hear that some construction company was going to build houses on the beautiful hills by my house.
3300,sadness,My girlfriend let me down badly 3 times in one week. These instances summed up all the negative aspects of our relationship which at the time seemed doomed to fail.
7630,guilt,Once while playing tennis with my classmate I lost a few tennis balls. I found one near the tennis court and took it to be mine despite thinking that it might belong to the student in the next court. I felt guilty. Later someone came to me to claim the ball and I gave it back to him.
6533,anger,When they put the blame on me when I scored the third goal at the match.
2009,fear,As a child (i.e. 5-7) hiking in reasonably rugged bush and becoming lost for a duration of 5-7 hours.
6237,disgust,Bad temper of the serving lady in the students' dining hall.
2475,guilt,When I slapped a nephew who did something that I considered wrong, and I was reprehended for this.
3819,anger,A friend came to visit me late one night. He promised to stay only a quarter of an hour, but he stayed 5 hours !! He didn't leave and I was very angry.
1493,joy,When my brother came back home after staying in hospital. He had undergone an operation which had been a matter of life or death. When he came home I could see him smile for the first time after may weeks.
5033,guilt,When it was discovered that I had done the assignment at my work place, this caused a lot of embarrassment for me.
5437,anger,Insulted by the class leader.
499,disgust,A friend unjustly put the blame on me to relieve his conscience and also spread lies for the same purpose.
6382,disgust,The time I went to see one of my girlfriends at Area 18 I found that she was not there but in the room she was sleeping, in the same room there were some women visitors with children so the room was smelling very badly with some faces and urine in it so I didn't stay any longer.
2664,anger,My brother accused me undeservedly before my parents. I was not guilty. He was misled by his wife.
58,anger,When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way.
7060,guilt,Could not buy a reference book because I got up too late to cue.
2685,shame,I put on a lot of weight in a few months and every time I met someone I knew would avoid them, usually by hiding because my self image was low and I was ashamed of what I had done to myself.
1461,sadness,I had to leave my girlfriend for 4 weeks because of my studies. This happens frequently. The last 24 hours before my departure are always very depressing.
3267,joy,A good friend, the wife of the vicar of my church came up to me from the pews (I am in the choir) and shook my hand during the time for an informal \greeting\ in the church service. She said a few words.
4585,guilt,When I arrived home late at night. I know that my mother gets worried and this made me feel angry.
5037,sadness,When the girl I loved turned me down.
1853,disgust,At a party I saw two persons having a fight. The aggression and the hate between these persons produced an unpleasant impression on me.
3700,fear,Just before I started my study I had to move, I was very afraid to be left alone and that I could not manage it.
602,disgust,At what I was capable of of selfishly using others for sexual encounters, while I held a vision of having a deepening above-board (you know, \girl next door\) devotion to a girl in my head. My drives and actions did not match this so consequently I felt disgusted at my failure.
2482,guilt,When I knew that my niece did a bad scholar examination because I couldn't explain her the lesson.
4772,disgust,When I discovered that my mother had been involved in adultery.
6994,anger,Being insulted in public.
348,joy,When after 10 months of national service I was \downgraded\ and did not have to do the remaining 5 months.
3649,guilt,When I made love with a girl, which I don't really love. However I know that she loves me.
4198,sadness,The death of a relative, friend, or someone I esteem.
3246,joy,My cousin asked me to be a bridesmaid for her. This made really happy because I was adopted into the family and her asking me made me realise that she saw me as a cousin and not just another person. There were other cousins she could have asked but she asked me.
3652,anger,I am a teacher in arts and crafts (boys from 15-16 years). for them it is obligatory and they dislike it. They tease me. When one of them cut up some material I flared up.
5341,sadness,When my father was imprisoned for burning the house of his younger brother.
7089,joy,China winning the Asian Olympic games (TV).
324,disgust,When a member of the family complains about the food that is served, it disgusts me.
7055,fear,Ran into a parking car on a bicycle.
7565,disgust,I made friends with a classmate whose behaviour I did not like - he tried to flatter other people and did not respect me.
3907,guilt,A good friend of mine who is at the moment in a foreign country. I didn't write her for several months and now I feel guilty.
2695,shame,I had called a boy who had dated me, and told him that I was ill, while, actually, I didn't want to go out with him, later on, he asked me if I was feeling better, then I felt ashamed.
4274,anger,When you kill yourself with work and see the number of slakers wandering around, doing nothing.
1372,sadness,When I was six years old, my favourite cat died.
6012,disgust,When my friend got very low marks in field work even though he had worked throughout the year, I had this feeling.
7224,anger,Misunderstood by friends.
3425,anger,My parents didn't allow me to go to a social function that all my friends were attending.
1270,guilt,I am going steady with a boy, but I had sexual intercourse with another one, and I felt guilty about it afterwards.
4652,sadness,I experienced this emotion when my friend committed suicide after we had spent the afternoon playing and discussing life and it's problems.
725,shame,Stealing from my mother's purse when I was a little boy.
4122,disgust,When a very dirty class-mate farted in my presence. There was a terrible smell.
7087,shame,Not finishing my duty as a class leader.
3565,sadness,I was very sad when my first boyfriend finished our relationship.
7423,anger,When I came back to my hostel, my bed was full of newspapers and dirty clothes. My room-mate asked me to wash the clothes for him as he had no time (this was his responsibility). The food we shared had been eaten up by him (I ate little).
6270,anger,A classmate told me I must have bribed the class leader to let me go to your English lecture.
2578,disgust,My main disgust is against codfish because I detest even the smell of it.
1774,anger,I bought an aquarium which made me much pleasure. I was watching the fish when my father came in and asked me how much I had payed for it. He said he would not pay for the current that it would require.
566,guilt,I had to decline an appointment which had been very important for the other person. For this reason we even got into trouble.
2335,disgust,Disgust of drunkers and of blood.
1668,joy,Several days after my final examination at school, I was sitting in an airplane on my way to Greece. I enjoyed that moment very much.
723,sadness,Being bored in school, not being able to marry and have children.
5948,anger,A few months ago when I was teaching, I suddenly became very angry at the children and slapped some of them.
6892,fear,Getting lost in a strange place.
5392,fear,When I had to talk to some strangers, from whom I was expecting a negative answer.
4618,disgust,When someone whom I trusted, disappointed me terribly.
487,guilt,I get irritated with my son when he screams or is sick all over his clean clothes.
2827,disgust,Disgust - no. Maybe it is more precise to say revolution at a worm or a snake. But I mean it in a social aspect when somebody had behaved like a scoundrel to you, when by his actions he has made you change your attitude towards him but I thing this feeling the way I meant it, is not typical for the people interrelations.
1643,sadness,When my grandmother died; I had a stronger relation to her than to my mother.
7612,anger,Whenever my father smokes the smell makes me feel very uncomfortable. He never listens to my complaints and I curse him furiously in my mind. I cannot solve this problem by violence because of traditional moral values.
2937,anger,I was neglected undeservedly.
6786,joy,When my brother bought me a nice pair of shoes from South Africa.
3053,disgust,I felt it today when the bus driver shouted rather indecent words at a man without any reason whatsoever.
2271,sadness,Leaving home to move closer to University. As an oldest child, this experience was traumatic for both my parents and myself.
923,fear,Once I was stopped by the police in Spain, when I had some \grass\ in my tobacco.
284,guilt,When I was fined for speeding.
3723,joy,When I got a good grade for an exam in statistics.
6722,guilt,When a patient in the ward died (one who had been under my care). I felt as if I didn't give the appropriate care to the patient.
6169,joy,When I passed the 12th standard board exams.
3596,disgust,When I entered a toilet in a bar and it stank.
4698,joy,This was when the girl I was in love with accepted my proposal and everything went smoothly, just as I had wanted it to. It was contrary to my previous feelings of uncertainty about her response.
4084,fear,When I was a child I hid under the sheets out of fear of darkness.
3536,fear,I was hitchhiking and was picked up by a stranger he drove into the woods and wanted to make love with me, I refused and escaped from the car. When walking in the wood and hearing the car I was afraid.
3839,fear,During a football game I made an offence towards an acquaintance. Later on this acquaintance also tackled me and the game became very rude.
3427,disgust,At a party my best girlfriend got really drunk and went off with a guy she knows I really like.
4701,sadness,When I failed a test at my primary school. I was then in grade 7 and we were about to take the main exam.
4433,fear,During a demonstration I climbed up the closed central door of a bus. When the bus stopped I had to go back to the same place, afraid that the police would see me.
4040,disgust,I read a newspaper report that a little boy was forced to look while his sister was raped.
3508,fear,I went to see a movie and I went with a friend, it was really frightening and it made me stop and think about the world around me and what it is really like out there. I was frightened all that night.
2660,shame,Some days ago I fell down at a public place, I came into notice but thank God I was not mocked at. Though it hurt badly, at the first moment I felt shame, not ache.
7116,guilt,My sister forgot to bring presents for my birthday, I was rude to her.
6899,fear,Going to the exam not well prepared.
3342,sadness,When my mother died.
1339,sadness,I lead a rather secure life. The only thing I can remember is a song from the nineteenth century which is against alcohol. Both the melody and the word (although naive) effected my emotions.
4408,disgust,In a bus I fell sick and vomitted in a bag. The entire situation was disgusting in itself.
1811,disgust,When I worked at the life-saving service I was disgusted by a patient whose outward appearance was distasteful.
4341,guilt,When I lost my study grant without having attended any exam in the career I had started, and it was too late to cancel my registration.
3506,guilt,Missing lectures and avoiding university work for no reason when it had to be done.
773,shame,I was making very strong statements about infidelity in couples. Then I discovered that one of my best friends, who had just been through a very sad case of mutual infidelity, was listening.
5854,shame,I felt this when I was copying homework for one of my classes.
1406,disgust,When I entered the dissecting room for the first time. I think I felt disgusted mainly because of the bad smell of formalized
2353,fear,I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going.
7075,joy,My father promoted to be a professor.
31,sadness,When one's studies seem hopelessly difficult and uninteresting.
4358,sadness,When the train taking me to my military service left the station, on the platform remained relatives, projects and goodtimes. I had a hard year ahead.
2156,joy,I felt it when I received a letter telling that I had been classified in a national concourse of p... I felt happy and vanity about it.
6454,guilt,I felt guilty of revealing a secret to my in-law. I told her that my brother and I had gone to disconight which is a thing my brother didn't want to let her know. Later my brother was accused of spending a night out.
5777,shame,I had a test in the class and I had not adequately prepared myself. I didn't fare so well on the exam and I felt bad about it.
3399,disgust,Obscene phone calls.
2904,disgust,A colleague of mine asked a lecturer to put him a higher mark in order to keep his good mards and thus to continue getting a scholarship for an excellent grade.
5188,anger,When I get home late my father scolds me and this makes me angry.
5996,anger,I was not given a chance to explain to my close relatives as to why I could not go to visit them when they were ill. When I did go, they thought that I had been selfish and irresponsible during their illness.
7181,fear,Watching a horror film.
128,anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.
4989,disgust,When I found out that someone close to me was flirting around.
1402,joy,When I met a good friend after a long time. We had had a quarrel but after two weeks I was really glad to see him again.
3988,fear,When I was 12 years old I frequently was pursued by others and got sound thrashes.
7195,fear,Saw a classmate knocked down by a motorcycle.
2160,disgust,When I see all the putridness of people. The fact is the catarrh and spits that wash the streets of S.Paulo.
5196,sadness,[ When family members or friends blame me for something I am not responsible for. I feel very sad as it was not my fault.]
